,Name,Price,OneH,TwentyfourH,SevenD,MarketCap,Volume,CirculatingSupply
0,Bitcoin1BTC,$27992.29,0.28%,2.12%,2.50%,$541.43B$541426059990,$15738225691562818 BTC,19362043 BTC
1,Ethereum2ETH,$1830.10,0.28%,1.05%,0.89%,$220.07B$220067595885,$71436768823907980 ETH,120388950 ETH
2,Tether3USDT,$1.00,0.02%,0.01%,0.01%,$81.82B$81823405284,$2460495922424598281344 USDT,81801198099 USDT
3,BNB4BNB,$323.70,0.03%,3.30%,1.84%,$50.43B$50431187904,$7348055462270677 BNB,155841178 BNB
4,USD Coin5USDC,$1.00,0.01%,0.01%,0.00%,$30.38B$30377718682,$29767881992976556556 USDC,30375354799 USDC
5,XRP6XRP,$0.4631,0.14%,0.44%,1.48%,$23.96B$23964436984,$8870248881915515763 XRP,51750810378 XRP
6,Cardano7ADA,$0.3859,0.29%,1.28%,1.44%,$13.43B$13433148872,$223484815579143409 ADA,34810954140 ADA
7,Dogecoin8DOGE,$0.07822,0.52%,0.92%,0.39%,$10.89B$10885912360,$2632046473365067225 DOGE,139176216384 DOGE
8,Polygon9MATIC,$0.9576,0.47%,2.61%,0.90%,$8.86B$8857236371,$348008629363419797 MATIC,9249469069 MATIC
9,Solana10SOL,$21.83,0.55%,2.28%,4.16%,$8.59B$8585063734,$30507239313973753 SOL,393236380 SOL
10,Basic Attention Token101BAT,$0.2354,0.42%,2.40%,3.06%,$350.43M$350431062,$1305790455469387 BAT,1488615298 BAT
11,Oasis Network102ROSE,$0.05888,0.30%,2.44%,3.84%,$337.11M$337107893,$17025857289181206 ROSE,5725718533 ROSE
12,Mask Network103MASK,$4.44,0.86%,1.75%,4.89%,$328.94M$328941040,$5437464812259218 MASK,74162500 MASK
13,Ethereum Name Service104ENS,$11.60,0.54%,1.37%,2.73%,$328.69M$328692189,$10222198881317 ENS,28338517 ENS
14,Solar105SXP,$0.5782,1.69%,7.50%,8.90%,$325.57M$325572420,$84737465146546355 SXP,563050255 SXP
15,Terra106LUNA,$1.22,0.54%,2.45%,1.74%,$321.87M$321868838,$2204025718051905 LUNA,263624215 LUNA
16,NEM107XEM,$0.03541,0.43%,3.37%,1.79%,$318.69M$318693815,$10663112301129194 XEM,8999999999 XEM
17,Holo108HOT,$0.001816,0.46%,1.53%,1.67%,$315.05M$315049848,$171614819449164245 HOT,173467411324 HOT
